Target Distance:50, Step size:1
0: (x,y)=(0.970296,-0.241922)
1: (x,y)=(-0.00407434,-0.0169708)
2: (x,y)=(0.220877,0.957399)
3: (x,y)=(-0.408444,0.180253)
4: (x,y)=(0.51874,-0.194353)
5: (x,y)=(-0.235969,0.461706)
6: (x,y)=(0.670338,0.0390874)
7: (x,y)=(0.995907,0.984606)
8: (x,y)=(-0.000288157,1.07176)
9: (x,y)=(0.960974,1.3474)
10: (x,y)=(0.719052,0.377103)
11: (x,y)=(-0.262576,0.186294)
12: (x,y)=(-0.314911,-0.812335)
13: (x,y)=(-0.367247,0.186294)
14: (x,y)=(0.301883,0.929439)
15: (x,y)=(-0.517269,1.50302)
16: (x,y)=(-0.430113,0.506821)
17: (x,y)=(0.468681,0.945192)
18: (x,y)=(-0.213317,0.213838)
19: (x,y)=(-0.801103,1.02286)
20: (x,y)=(-0.316293,1.89748)
21: (x,y)=(-1.3011,1.72383)
22: (x,y)=(-0.523955,2.35315)
23: (x,y)=(-0.316043,1.375)
24: (x,y)=(-0.540994,0.40063)
25: (x,y)=(0.451552,0.27876)
26: (x,y)=(1.28059,0.837953)
27: (x,y)=(1.53941,1.80388)
28: (x,y)=(1.31446,2.77825)
29: (x,y)=(0.645327,2.0351)
30: (x,y)=(0.23859,1.12156)
31: (x,y)=(-0.60008,1.6662)
32: (x,y)=(-0.958448,0.732617)
33: (x,y)=(-1.38107,-0.17369)
34: (x,y)=(-1.45082,0.823874)
35: (x,y)=(-0.453259,0.89363)
36: (x,y)=(-0.453259,1.89363)
37: (x,y)=(-1.08258,1.11648)
38: (x,y)=(-0.874668,2.09463)
39: (x,y)=(-1.86721,1.97276)
40: (x,y)=(-0.876946,2.11194)
41: (x,y)=(-0.470209,3.02548)
42: (x,y)=(-1.24736,3.6548)
43: (x,y)=(-1.48928,4.6251)
44: (x,y)=(-2.13206,3.85905)
45: (x,y)=(-1.2749,4.37409)
46: (x,y)=(-0.486887,4.98975)
47: (x,y)=(0.311749,5.59157)
48: (x,y)=(0.259413,6.5902)
49: (x,y)=(-0.483732,5.92107)
50: (x,y)=(-0.58826,4.92654)
51: (x,y)=(-1.55419,5.18536)
52: (x,y)=(-0.924866,4.40822)
53: (x,y)=(-0.0338592,4.86221)
54: (x,y)=(0.356872,5.78271)
55: (x,y)=(0.11495,4.81242)
56: (x,y)=(-0.673061,5.42808)
57: (x,y)=(-1.40441,4.74608)
58: (x,y)=(-1.57806,5.73089)
59: (x,y)=(-2.42611,6.26081)
60: (x,y)=(-1.60696,6.83438)
61: (x,y)=(-0.715952,7.28837)
62: (x,y)=(0.158668,6.80356)
63: (x,y)=(0.97782,6.22999)
64: (x,y)=(1.97037,6.10812)
65: (x,y)=(2.50029,6.95617)
66: (x,y)=(1.5731,6.58156)
67: (x,y)=(0.690154,6.11209)
68: (x,y)=(-0.300114,6.25126)
69: (x,y)=(-0.929435,5.47412)
70: (x,y)=(-1.86913,5.1321)
71: (x,y)=(-1.25347,4.34408)
72: (x,y)=(-0.254836,4.39642)
73: (x,y)=(-0.799475,3.55775)
74: (x,y)=(0.16645,3.81657)
75: (x,y)=(0.425269,4.7825)
76: (x,y)=(1.37079,4.45693)
77: (x,y)=(2.37018,4.42203)
78: (x,y)=(3.36637,4.33487)
79: (x,y)=(2.48343,4.80434)
80: (x,y)=(2.46597,3.8045)
81: (x,y)=(1.46658,3.7696)
82: (x,y)=(1.04396,2.86329)
83: (x,y)=(1.33634,3.81959)
84: (x,y)=(2.12435,3.20393)
85: (x,y)=(1.12678,3.13418)
86: (x,y)=(1.40242,2.17291)
87: (x,y)=(0.659275,1.50378)
88: (x,y)=(-0.315095,1.27883)
89: (x,y)=(0.684753,1.29628)
90: (x,y)=(1.5328,1.8262)
91: (x,y)=(1.93954,2.73975)
92: (x,y)=(2.84585,2.31713)
93: (x,y)=(3.84341,2.24737)
94: (x,y)=(3.89575,1.24874)
95: (x,y)=(3.36583,2.09679)
96: (x,y)=(3.6582,3.0531)
97: (x,y)=(2.82916,2.4939)
98: (x,y)=(2.8815,1.49528)
99: (x,y)=(3.87906,1.42552)
100: (x,y)=(3.17195,2.13263)
101: (x,y)=(4.11747,2.45819)
102: (x,y)=(3.71074,1.54465)
103: (x,y)=(3.24126,0.6617)
104: (x,y)=(2.63945,-0.136935)
105: (x,y)=(1.69976,-0.478955)
106: (x,y)=(2.28754,0.330062)
107: (x,y)=(1.39654,-0.123929)
108: (x,y)=(0.513587,-0.5934)
109: (x,y)=(1.44717,-0.951768)
110: (x,y)=(1.30799,-1.94204)
111: (x,y)=(0.792957,-1.08487)
112: (x,y)=(1.641,-0.55495)
113: (x,y)=(2.641,-0.55495)
114: (x,y)=(1.66286,-0.762861)
115: (x,y)=(1.71519,0.235768)
116: (x,y)=(1.95712,1.20606)
117: (x,y)=(2.07898,0.213518)
118: (x,y)=(2.2869,-0.76463)
119: (x,y)=(1.74226,-1.6033)
120: (x,y)=(1.44989,-0.646996)
121: (x,y)=(1.20796,0.3233)
122: (x,y)=(1.70796,-0.542725)
123: (x,y)=(1.77772,0.454839)
124: (x,y)=(0.778329,0.489738)
125: (x,y)=(1.33752,1.31878)
126: (x,y)=(1.25037,0.322581)
127: (x,y)=(1.93236,-0.408773)
128: (x,y)=(1.34458,-1.21779)
129: (x,y)=(1.67015,-2.16331)
130: (x,y)=(1.51371,-1.17562)
131: (x,y)=(1.80608,-2.13192)
132: (x,y)=(2.7516,-1.80636)
133: (x,y)=(3.47094,-1.1117)
134: (x,y)=(2.67231,-1.71351)
135: (x,y)=(3.39165,-2.40817)
136: (x,y)=(4.04771,-1.65346)
137: (x,y)=(4.92233,-1.16865)
138: (x,y)=(5.71034,-1.78431)
139: (x,y)=(4.71034,-1.78431)
140: (x,y)=(5.60913,-2.22268)
141: (x,y)=(4.63476,-1.99773)
142: (x,y)=(3.70758,-1.62313)
143: (x,y)=(4.14595,-0.724333)
144: (x,y)=(5.05949,-0.317597)
145: (x,y)=(4.20233,0.197441)
146: (x,y)=(5.15338,0.506458)
147: (x,y)=(6.14593,0.384589)
148: (x,y)=(6.25046,1.37911)
149: (x,y)=(5.34415,1.80173)
150: (x,y)=(5.43131,2.79792)
151: (x,y)=(4.74931,3.52928)
152: (x,y)=(5.45641,2.82217)
153: (x,y)=(5.0338,1.91586)
154: (x,y)=(4.32669,1.20876)
155: (x,y)=(5.18386,1.72379)
156: (x,y)=(6.0668,1.25432)
157: (x,y)=(6.79816,0.572324)
158: (x,y)=(6.03211,-0.0704631)
159: (x,y)=(7.02831,-0.157619)
160: (x,y)=(6.45473,-0.976771)
161: (x,y)=(5.67759,-1.60609)
162: (x,y)=(5.86839,-0.624464)
163: (x,y)=(5.22561,0.14158)
164: (x,y)=(5.66398,1.04037)
165: (x,y)=(5.55945,0.0458525)
166: (x,y)=(4.56493,0.150381)
167: (x,y)=(3.88293,-0.580973)
168: (x,y)=(3.20093,-1.31233)
169: (x,y)=(2.20108,-1.29487)
170: (x,y)=(2.34026,-0.304606)
171: (x,y)=(3.27995,-0.646626)
172: (x,y)=(4.03466,-1.30269)
173: (x,y)=(3.66005,-2.22987)
174: (x,y)=(2.66978,-2.36904)
175: (x,y)=(1.77878,-2.82303)
176: (x,y)=(0.817515,-2.5474)
177: (x,y)=(1.28699,-1.66445)
178: (x,y)=(1.09618,-2.64607)
179: (x,y)=(1.11363,-3.64592)
180: (x,y)=(1.4392,-4.59144)
181: (x,y)=(0.823537,-5.37945)
182: (x,y)=(-0.110043,-5.02108)
183: (x,y)=(-0.864753,-5.67714)
184: (x,y)=(-1.6839,-5.10357)
185: (x,y)=(-2.6833,-5.13847)
186: (x,y)=(-2.63096,-4.13984)
187: (x,y)=(-1.9363,-3.4205)
188: (x,y)=(-1.52956,-4.33404)
189: (x,y)=(-0.730929,-3.73223)
190: (x,y)=(-1.23093,-2.8662)
191: (x,y)=(-2.22849,-2.79645)
192: (x,y)=(-3.18976,-2.52081)
193: (x,y)=(-2.19219,-2.45105)
194: (x,y)=(-3.16249,-2.20913)
195: (x,y)=(-2.27148,-2.66312)
196: (x,y)=(-1.72684,-3.50179)
197: (x,y)=(-1.96876,-2.53149)
198: (x,y)=(-2.21068,-3.50179)
199: (x,y)=(-3.20521,-3.39726)
200: (x,y)=(-3.43016,-2.42289)
201: (x,y)=(-2.80084,-1.64575)
202: (x,y)=(-2.50847,-2.60205)
203: (x,y)=(-2.68211,-3.58686)
204: (x,y)=(-2.45716,-4.56123)
